table,seq,column,is_pk,is_fk,type,i1,size,description,d_segment,id
p8,30,p0080027,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native,,d1Fc180800u
p8,31,p0080028,,,INTEGER,,,White; Black or African American; Asian,,d1Fc180800v
p8,32,p0080029,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180800w
p8,33,p0080030,,,INTEGER,,,White; Black or African American; Some Other Race,,d1Fc180800x
p8,34,p0080031,,,INTEGER,,,White; American Indian and Alaska Native; Asian,,d1Fc180800y
p8,35,p0080032,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180800z
p8,36,p0080033,,,INTEGER,,,White; American Indian and Alaska Native; Some Other Race,,d1Fc180800A
p8,37,p0080034,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800B
p8,38,p0080035,,,INTEGER,,,White; Asian; Some Other Race,,d1Fc180800C
p8,39,p0080036,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800D
p8,40,p0080037,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian,,d1Fc180800E
p8,41,p0080038,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180800F
p8,42,p0080039,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180800G
p8,43,p0080040,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800H
p8,44,p0080041,,,INTEGER,,,Black or African American; Asian; Some Other Race,,d1Fc180800I
p8,45,p0080042,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800J
p8,46,p0080043,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800K
p8,47,p0080044,,,INTEGER,,,American Indian and Alaska Native; Asian; Some Other Race,,d1Fc180800L
p8,48,p0080045,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800M
p8,49,p0080046,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800N
p8,50,p0080047,,,INTEGER,,,Population of four races:,,d1Fc180800O
p8,51,p0080048,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian,,d1Fc180800P
p8,52,p0080049,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180800Q
p8,53,p0080050,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180800R
p8,54,p0080051,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800S
p8,55,p0080052,,,INTEGER,,,White; Black or African American; Asian; Some Other Race,,d1Fc180800T
p8,56,p0080053,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800U
p8,57,p0080054,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800V
p8,58,p0080055,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc180800W
p8,59,p0080056,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800X
p8,60,p0080057,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800Y
p8,61,p0080058,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800Z
p8,62,p0080059,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc1808010
p8,63,p0080060,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808011
p8,64,p0080061,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808012
p8,65,p0080062,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808013
p8,66,p0080063,,,INTEGER,,,Population of five races:,,d1Fc1808014
p8,67,p0080064,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc1808015
p8,68,p0080065,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc1808016
p8,69,p0080066,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808017
p8,70,p0080067,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808018
p8,71,p0080068,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1808019
p8,72,p0080069,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180801a
p8,73,p0080070,,,INTEGER,,,Population of six races:,,d1Fc180801b
p8,74,p0080071,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180801c
,,,,,,,,,,
p9,1,id,1,,INTEGER64,,6,,,d1Fc1809001
p9,2,stusab,,,VARCHAR,1,6,,,d1Fc1809002
p9,3,logrecno,,,INTEGER,1,7,,,d1Fc1809003
p9,4,p0090001,,,INTEGER,,,Total:,,d1Fc1809004
p9,5,p0090002,,,INTEGER,,,Hispanic or Latino,,d1Fc1809005
p9,6,p0090003,,,INTEGER,,,Not Hispanic or Latino:,,d1Fc1809006
p9,7,p0090004,,,INTEGER,,,Population of one race:,,d1Fc1809007
p9,8,p0090005,,,INTEGER,,,White alone,,d1Fc1809008
p9,9,p0090006,,,INTEGER,,,Black or African American alone,,d1Fc1809009
p9,10,p0090007,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc180900a
p9,11,p0090008,,,INTEGER,,,Asian alone,,d1Fc180900b
p9,12,p0090009,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc180900c
p9,13,p0090010,,,INTEGER,,,Some Other Race alone,,d1Fc180900d
p9,14,p0090011,,,INTEGER,,,Two or More Races:,,d1Fc180900e
p9,15,p0090012,,,INTEGER,,,Population of two races:,,d1Fc180900f
p9,16,p0090013,,,INTEGER,,,White; Black or African American,,d1Fc180900g
p9,17,p0090014,,,INTEGER,,,White; American Indian and Alaska Native,,d1Fc180900h
p9,18,p0090015,,,INTEGER,,,White; Asian,,d1Fc180900i
p9,19,p0090016,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander,,d1Fc180900j
p9,20,p0090017,,,INTEGER,,,White; Some Other Race,,d1Fc180900k
p9,21,p0090018,,,INTEGER,,,Black or African American; American Indian and Alaska Native,,d1Fc180900l
p9,22,p0090019,,,INTEGER,,,Black or African American; Asian,,d1Fc180900m
p9,23,p0090020,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180900n
p9,24,p0090021,,,INTEGER,,,Black or African American; Some Other Race,,d1Fc180900o
p9,25,p0090022,,,INTEGER,,,American Indian and Alaska Native; Asian,,d1Fc180900p
p9,26,p0090023,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180900q
p9,27,p0090024,,,INTEGER,,,American Indian and Alaska Native; Some Other Race,,d1Fc180900r
p9,28,p0090025,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900s
p9,29,p0090026,,,INTEGER,,,Asian; Some Other Race,,d1Fc180900t
p9,30,p0090027,,,INTEGER,,,Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900u
p9,31,p0090028,,,INTEGER,,,Population of three races:,,d1Fc180900v
p9,32,p0090029,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native,,d1Fc180900w
p9,33,p0090030,,,INTEGER,,,White; Black or African American; Asian,,d1Fc180900x
p9,34,p0090031,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180900y
p9,35,p0090032,,,INTEGER,,,White; Black or African American; Some Other Race,,d1Fc180900z
p9,36,p0090033,,,INTEGER,,,White; American Indian and Alaska Native; Asian,,d1Fc180900A
p9,37,p0090034,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180900B
p9,38,p0090035,,,INTEGER,,,White; American Indian and Alaska Native; Some Other Race,,d1Fc180900C
p9,39,p0090036,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900D
p9,40,p0090037,,,INTEGER,,,White; Asian; Some Other Race,,d1Fc180900E
p9,41,p0090038,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900F
p9,42,p0090039,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian,,d1Fc180900G
p9,43,p0090040,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180900H
p9,44,p0090041,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180900I
p9,45,p0090042,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900J
p9,46,p0090043,,,INTEGER,,,Black or African American; Asian; Some Other Race,,d1Fc180900K
p9,47,p0090044,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900L
p9,48,p0090045,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900M
p9,49,p0090046,,,INTEGER,,,American Indian and Alaska Native; Asian; Some Other Race,,d1Fc180900N
p9,50,p0090047,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900O
p9,51,p0090048,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900P
p9,52,p0090049,,,INTEGER,,,Population of four races:,,d1Fc180900Q
p9,53,p0090050,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian,,d1Fc180900R
p9,54,p0090051,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180900S
p9,55,p0090052,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180900T
p9,56,p0090053,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900U
p9,57,p0090054,,,INTEGER,,,White; Black or African American; Asian; Some Other Race,,d1Fc180900V
p9,58,p0090055,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900W
p9,59,p0090056,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180900X
p9,60,p0090057,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc180900Y
p9,61,p0090058,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180900Z
p9,62,p0090059,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1809010
p9,63,p0090060,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc1809011
p9,64,p0090061,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc1809012
p9,65,p0090062,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1809013
p9,66,p0090063,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1809014
p9,67,p0090064,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1809015
p9,68,p0090065,,,INTEGER,,,Population of five races:,,d1Fc1809016
p9,69,p0090066,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc1809017
p9,70,p0090067,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,,d1Fc1809018
p9,71,p0090068,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc1809019
p9,72,p0090069,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180901a
p9,73,p0090070,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180901b
p9,74,p0090071,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180901c
p9,75,p0090072,,,INTEGER,,,Population of six races:,,d1Fc180901d
p9,76,p0090073,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180901e
,,,,,,,,,,
p10,1,id,1,,INTEGER64,,6,,,d1Fc180a001
p10,2,stusab,,,VARCHAR,1,6,,,d1Fc180a002
p10,3,logrecno,,,INTEGER,1,7,,,d1Fc180a003
p10,4,p0100001,,,INTEGER,,,Total:,,d1Fc180a004
p10,5,p0100002,,,INTEGER,,,Population of one race:,,d1Fc180a005
p10,6,p0100003,,,INTEGER,,,White alone,,d1Fc180a006
p10,7,p0100004,,,INTEGER,,,Black or African American alone,,d1Fc180a007
p10,8,p0100005,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc180a008
p10,9,p0100006,,,INTEGER,,,Asian alone,,d1Fc180a009
p10,10,p0100007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc180a00a
p10,11,p0100008,,,INTEGER,,,Some Other Race alone,,d1Fc180a00b
p10,12,p0100009,,,INTEGER,,,Two or More Races:,,d1Fc180a00c
p10,13,p0100010,,,INTEGER,,,Population of two races:,,d1Fc180a00d
p10,14,p0100011,,,INTEGER,,,White; Black or African American,,d1Fc180a00e
p10,15,p0100012,,,INTEGER,,,White; American Indian and Alaska Native,,d1Fc180a00f
p10,16,p0100013,,,INTEGER,,,White; Asian,,d1Fc180a00g
p10,17,p0100014,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander,,d1Fc180a00h
p10,18,p0100015,,,INTEGER,,,White; Some Other Race,,d1Fc180a00i
p10,19,p0100016,,,INTEGER,,,Black or African American; American Indian and Alaska Native,,d1Fc180a00j
p10,20,p0100017,,,INTEGER,,,Black or African American; Asian,,d1Fc180a00k
p10,21,p0100018,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180a00l
p10,22,p0100019,,,INTEGER,,,Black or African American; Some Other Race,,d1Fc180a00m
p10,23,p0100020,,,INTEGER,,,American Indian and Alaska Native; Asian,,d1Fc180a00n
p10,24,p0100021,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180a00o
p10,25,p0100022,,,INTEGER,,,American Indian and Alaska Native; Some Other Race,,d1Fc180a00p
p10,26,p0100023,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00q
p10,27,p0100024,,,INTEGER,,,Asian; Some Other Race,,d1Fc180a00r
p10,28,p0100025,,,INTEGER,,,Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00s
p10,29,p0100026,,,INTEGER,,,Population of three races:,,d1Fc180a00t
p10,30,p0100027,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native,,d1Fc180a00u
p10,31,p0100028,,,INTEGER,,,White; Black or African American; Asian,,d1Fc180a00v
p10,32,p0100029,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180a00w
p10,33,p0100030,,,INTEGER,,,White; Black or African American; Some Other Race,,d1Fc180a00x
p10,34,p0100031,,,INTEGER,,,White; American Indian and Alaska Native; Asian,,d1Fc180a00y
p10,35,p0100032,,,INTEGER,,,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180a00z
p10,36,p0100033,,,INTEGER,,,White; American Indian and Alaska Native; Some Other Race,,d1Fc180a00A
p10,37,p0100034,,,INTEGER,,,White; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00B
p10,38,p0100035,,,INTEGER,,,White; Asian; Some Other Race,,d1Fc180a00C
p10,39,p0100036,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00D
p10,40,p0100037,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Asian,,d1Fc180a00E
p10,41,p0100038,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180a00F
p10,42,p0100039,,,INTEGER,,,Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180a00G
p10,43,p0100040,,,INTEGER,,,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00H
p10,44,p0100041,,,INTEGER,,,Black or African American; Asian; Some Other Race,,d1Fc180a00I
p10,45,p0100042,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00J
p10,46,p0100043,,,INTEGER,,,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00K
p10,47,p0100044,,,INTEGER,,,American Indian and Alaska Native; Asian; Some Other Race,,d1Fc180a00L
p10,48,p0100045,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00M
p10,49,p0100046,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00N
p10,50,p0100047,,,INTEGER,,,Population of four races:,,d1Fc180a00O
p10,51,p0100048,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Asian,,d1Fc180a00P
p10,52,p0100049,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180a00Q
p10,53,p0100050,,,INTEGER,,,White; Black or African American; American Indian and Alaska Native; Some Other Race,,d1Fc180a00R
p10,54,p0100051,,,INTEGER,,,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00S
p10,55,p0100052,,,INTEGER,,,White; Black or African American; Asian; Some Other Race,,d1Fc180a00T
p10,56,p0100053,,,INTEGER,,,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180a00U
p10,57,p0100054,,,INTEGER,,,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180a00V
