table,seq,column,is_pk,is_fk,type,ui1,size,description,id
h14,1,id,1,,INTEGER64,,6,,d4d0RJ0c001
h14,2,geoid,,,VARCHAR,1,,,d4d0RJ0c002
h14,3,h0140001,,,INTEGER,,,Total:,d4d0RJ0c003
h14,4,h0140002,,,INTEGER,,,Owner occupied:,d4d0RJ0c004
h14,5,h0140003,,,INTEGER,,,Householder who is White alone,d4d0RJ0c005
h14,6,h0140004,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0c006
h14,7,h0140005,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0c007
h14,8,h0140006,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0c008
h14,9,h0140007,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0c009
h14,10,h0140008,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0c00a
h14,11,h0140009,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0c00b
h14,12,h0140010,,,INTEGER,,,Renter occupied:,d4d0RJ0c00c
h14,13,h0140011,,,INTEGER,,,Householder who is White alone,d4d0RJ0c00d
h14,14,h0140012,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0c00e
h14,15,h0140013,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0c00f
h14,16,h0140014,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0c00g
h14,17,h0140015,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0c00h
h14,18,h0140016,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0c00i
h14,19,h0140017,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0c00j
,,,,,,,,,
h15,1,id,1,,INTEGER64,,6,,d4d0RJ0d001
h15,2,geoid,,,VARCHAR,1,,,d4d0RJ0d002
h15,3,h0150001,,,INTEGER,,,Total:,d4d0RJ0d003
h15,4,h0150002,,,INTEGER,,,Owner occupied:,d4d0RJ0d004
h15,5,h0150003,,,INTEGER,,,Not Hispanic or Latino householder,d4d0RJ0d005
h15,6,h0150004,,,INTEGER,,,Hispanic or Latino householder,d4d0RJ0d006
h15,7,h0150005,,,INTEGER,,,Renter occupied:,d4d0RJ0d007
h15,8,h0150006,,,INTEGER,,,Not Hispanic or Latino householder,d4d0RJ0d008
h15,9,h0150007,,,INTEGER,,,Hispanic or Latino householder,d4d0RJ0d009
,,,,,,,,,
h16,1,id,1,,INTEGER64,,6,,d4d0RJ0e001
h16,2,geoid,,,VARCHAR,1,,,d4d0RJ0e002
h16,3,h0160001,,,INTEGER,,,Total:,d4d0RJ0e003
h16,4,h0160002,,,INTEGER,,,Owner occupied:,d4d0RJ0e004
h16,5,h0160003,,,INTEGER,,,1-person household,d4d0RJ0e005
h16,6,h0160004,,,INTEGER,,,2-person household,d4d0RJ0e006
h16,7,h0160005,,,INTEGER,,,3-person household,d4d0RJ0e007
h16,8,h0160006,,,INTEGER,,,4-person household,d4d0RJ0e008
h16,9,h0160007,,,INTEGER,,,5-person household,d4d0RJ0e009
h16,10,h0160008,,,INTEGER,,,6-person household,d4d0RJ0e00a
h16,11,h0160009,,,INTEGER,,,7-or-more-person household,d4d0RJ0e00b
h16,12,h0160010,,,INTEGER,,,Renter occupied:,d4d0RJ0e00c
h16,13,h0160011,,,INTEGER,,,1-person household,d4d0RJ0e00d
h16,14,h0160012,,,INTEGER,,,2-person household,d4d0RJ0e00e
h16,15,h0160013,,,INTEGER,,,3-person household,d4d0RJ0e00f
h16,16,h0160014,,,INTEGER,,,4-person household,d4d0RJ0e00g
h16,17,h0160015,,,INTEGER,,,5-person household,d4d0RJ0e00h
h16,18,h0160016,,,INTEGER,,,6-person household,d4d0RJ0e00i
h16,19,h0160017,,,INTEGER,,,7-or-more-person household,d4d0RJ0e00j
,,,,,,,,,
h17,1,id,1,,INTEGER64,,6,,d4d0RJ0f001
h17,2,geoid,,,VARCHAR,1,,,d4d0RJ0f002
h17,3,h0170001,,,INTEGER,,,Total:,d4d0RJ0f003
h17,4,h0170002,,,INTEGER,,,Owner occupied:,d4d0RJ0f004
h17,5,h0170003,,,INTEGER,,,Householder 15 to 24 years,d4d0RJ0f005
h17,6,h0170004,,,INTEGER,,,Householder 25 to 34 years,d4d0RJ0f006
h17,7,h0170005,,,INTEGER,,,Householder 35 to 44 years,d4d0RJ0f007
h17,8,h0170006,,,INTEGER,,,Householder 45 to 54 years,d4d0RJ0f008
h17,9,h0170007,,,INTEGER,,,Householder 55 to 59 years,d4d0RJ0f009
h17,10,h0170008,,,INTEGER,,,Householder 60 to 64 years,d4d0RJ0f00a
h17,11,h0170009,,,INTEGER,,,Householder 65 to 74 years,d4d0RJ0f00b
h17,12,h0170010,,,INTEGER,,,Householder 75 to 84 years,d4d0RJ0f00c
h17,13,h0170011,,,INTEGER,,,Householder 85 years and over,d4d0RJ0f00d
h17,14,h0170012,,,INTEGER,,,Renter occupied:,d4d0RJ0f00e
h17,15,h0170013,,,INTEGER,,,Householder 15 to 24 years,d4d0RJ0f00f
h17,16,h0170014,,,INTEGER,,,Householder 25 to 34 years,d4d0RJ0f00g
h17,17,h0170015,,,INTEGER,,,Householder 35 to 44 years,d4d0RJ0f00h
h17,18,h0170016,,,INTEGER,,,Householder 45 to 54 years,d4d0RJ0f00i
h17,19,h0170017,,,INTEGER,,,Householder 55 to 59 years,d4d0RJ0f00j
h17,20,h0170018,,,INTEGER,,,Householder 60 to 64 years,d4d0RJ0f00k
h17,21,h0170019,,,INTEGER,,,Householder 65 to 74 years,d4d0RJ0f00l
h17,22,h0170020,,,INTEGER,,,Householder 75 to 84 years,d4d0RJ0f00m
h17,23,h0170021,,,INTEGER,,,Householder 85 years and over,d4d0RJ0f00n
,,,,,,,,,
h18,1,id,1,,INTEGER64,,6,,d4d0RJ0g001
h18,2,geoid,,,VARCHAR,1,,,d4d0RJ0g002
h18,3,h0180001,,,INTEGER,,,Total:,d4d0RJ0g003
h18,4,h0180002,,,INTEGER,,,Owner occupied:,d4d0RJ0g004
h18,5,h0180003,,,INTEGER,,,Family households:,d4d0RJ0g005
h18,6,h0180004,,,INTEGER,,,Husband-wife family:,d4d0RJ0g006
h18,7,h0180005,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g007
h18,8,h0180006,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g008
h18,9,h0180007,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g009
h18,10,h0180008,,,INTEGER,,,Other family:,d4d0RJ0g00a
h18,11,h0180009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0g00b
h18,12,h0180010,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00c
h18,13,h0180011,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00d
h18,14,h0180012,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00e
h18,15,h0180013,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0g00f
h18,16,h0180014,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00g
h18,17,h0180015,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00h
h18,18,h0180016,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00i
h18,19,h0180017,,,INTEGER,,,Nonfamily households:,d4d0RJ0g00j
h18,20,h0180018,,,INTEGER,,,Male householder:,d4d0RJ0g00k
h18,21,h0180019,,,INTEGER,,,Living alone:,d4d0RJ0g00l
h18,22,h0180020,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00m
h18,23,h0180021,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00n
h18,24,h0180022,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00o
h18,25,h0180023,,,INTEGER,,,Not living alone:,d4d0RJ0g00p
h18,26,h0180024,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00q
h18,27,h0180025,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00r
h18,28,h0180026,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00s
h18,29,h0180027,,,INTEGER,,,Female householder:,d4d0RJ0g00t
h18,30,h0180028,,,INTEGER,,,Living alone:,d4d0RJ0g00u
h18,31,h0180029,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00v
h18,32,h0180030,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00w
h18,33,h0180031,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00x
h18,34,h0180032,,,INTEGER,,,Not living alone:,d4d0RJ0g00y
h18,35,h0180033,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00z
h18,36,h0180034,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00A
h18,37,h0180035,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00B
h18,38,h0180036,,,INTEGER,,,Renter occupied:,d4d0RJ0g00C
h18,39,h0180037,,,INTEGER,,,Family households:,d4d0RJ0g00D
h18,40,h0180038,,,INTEGER,,,Husband-wife family:,d4d0RJ0g00E
h18,41,h0180039,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00F
h18,42,h0180040,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00G
h18,43,h0180041,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00H
h18,44,h0180042,,,INTEGER,,,Other family:,d4d0RJ0g00I
h18,45,h0180043,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0g00J
h18,46,h0180044,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00K
h18,47,h0180045,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00L
h18,48,h0180046,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00M
h18,49,h0180047,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0g00N
h18,50,h0180048,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00O
h18,51,h0180049,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00P
h18,52,h0180050,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00Q
h18,53,h0180051,,,INTEGER,,,Nonfamily households:,d4d0RJ0g00R
h18,54,h0180052,,,INTEGER,,,Male householder:,d4d0RJ0g00S
h18,55,h0180053,,,INTEGER,,,Living alone:,d4d0RJ0g00T
h18,56,h0180054,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00U
h18,57,h0180055,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00V
h18,58,h0180056,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g00W
h18,59,h0180057,,,INTEGER,,,Not living alone:,d4d0RJ0g00X
h18,60,h0180058,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g00Y
h18,61,h0180059,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g00Z
h18,62,h0180060,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g010
h18,63,h0180061,,,INTEGER,,,Female householder:,d4d0RJ0g011
h18,64,h0180062,,,INTEGER,,,Living alone:,d4d0RJ0g012
h18,65,h0180063,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g013
h18,66,h0180064,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g014
h18,67,h0180065,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g015
h18,68,h0180066,,,INTEGER,,,Not living alone:,d4d0RJ0g016
h18,69,h0180067,,,INTEGER,,,Householder 15 to 34 years,d4d0RJ0g017
h18,70,h0180068,,,INTEGER,,,Householder 35 to 64 years,d4d0RJ0g018
h18,71,h0180069,,,INTEGER,,,Householder 65 years and over,d4d0RJ0g019
,,,,,,,,,
h19,1,id,1,,INTEGER64,,6,,d4d0RJ0h001
h19,2,geoid,,,VARCHAR,1,,,d4d0RJ0h002
h19,3,h0190001,,,INTEGER,,,Total:,d4d0RJ0h003
h19,4,h0190002,,,INTEGER,,,Owner-occupied:,d4d0RJ0h004
h19,5,h0190003,,,INTEGER,,,With children under 18 years,d4d0RJ0h005
h19,6,h0190004,,,INTEGER,,,No children under 18 years,d4d0RJ0h006
h19,7,h0190005,,,INTEGER,,,Renter-occupied:,d4d0RJ0h007
h19,8,h0190006,,,INTEGER,,,With children under 18 years,d4d0RJ0h008
h19,9,h0190007,,,INTEGER,,,No children under 18 years,d4d0RJ0h009
,,,,,,,,,
h2,1,id,1,,INTEGER64,,6,,d4d0RJ0i001
h2,2,geoid,,,VARCHAR,1,,,d4d0RJ0i002
h2,3,h0020001,,,INTEGER,,,Total:,d4d0RJ0i003
h2,4,h0020002,,,INTEGER,,,Urban:,d4d0RJ0i004
h2,5,h0020003,,,INTEGER,,,Inside urbanized areas,d4d0RJ0i005
h2,6,h0020004,,,INTEGER,,,Inside urban clusters,d4d0RJ0i006
h2,7,h0020005,,,INTEGER,,,Rural,d4d0RJ0i007
h2,8,h0020006,,,INTEGER,,,Not defined for this file,d4d0RJ0i008
,,,,,,,,,
h20,1,id,1,,INTEGER64,,6,,d4d0RJ0j001
h20,2,geoid,,,VARCHAR,1,,,d4d0RJ0j002
h20,3,h0200001,,,INTEGER,,,Total:,d4d0RJ0j003
h20,4,h0200002,,,INTEGER,,,Substituted,d4d0RJ0j004
h20,5,h0200003,,,INTEGER,,,Not substituted,d4d0RJ0j005
,,,,,,,,,
h21,1,id,1,,INTEGER64,,6,,d4d0RJ0k001
h21,2,geoid,,,VARCHAR,1,,,d4d0RJ0k002
h21,3,h0210001,,,INTEGER,,,Total:,d4d0RJ0k003
h21,4,h0210002,,,INTEGER,,,Allocated,d4d0RJ0k004
h21,5,h0210003,,,INTEGER,,,Not allocated,d4d0RJ0k005
,,,,,,,,,
h22,1,id,1,,INTEGER64,,6,,d4d0RJ0l001
h22,2,geoid,,,VARCHAR,1,,,d4d0RJ0l002
h22,3,h0220001,,,INTEGER,,,Total:,d4d0RJ0l003
h22,4,h0220002,,,INTEGER,,,Allocated,d4d0RJ0l004
h22,5,h0220003,,,INTEGER,,,Not allocated,d4d0RJ0l005
,,,,,,,,,
h3,1,id,1,,INTEGER64,,6,,d4d0RJ0m001
h3,2,geoid,,,VARCHAR,1,,,d4d0RJ0m002
h3,3,h0030001,,,INTEGER,,,Total:,d4d0RJ0m003
h3,4,h0030002,,,INTEGER,,,Occupied,d4d0RJ0m004
h3,5,h0030003,,,INTEGER,,,Vacant,d4d0RJ0m005
,,,,,,,,,
h4,1,id,1,,INTEGER64,,6,,d4d0RJ0n001
h4,2,geoid,,,VARCHAR,1,,,d4d0RJ0n002
h4,3,h0040001,,,INTEGER,,,Total:,d4d0RJ0n003
h4,4,h0040002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ0n004
h4,5,h0040003,,,INTEGER,,,Owned free and clear,d4d0RJ0n005
h4,6,h0040004,,,INTEGER,,,Renter occupied,d4d0RJ0n006
,,,,,,,,,
h5,1,id,1,,INTEGER64,,6,,d4d0RJ0o001
h5,2,geoid,,,VARCHAR,1,,,d4d0RJ0o002
h5,3,h0050001,,,INTEGER,,,Total:,d4d0RJ0o003
h5,4,h0050002,,,INTEGER,,,For rent,d4d0RJ0o004
h5,5,h0050003,,,INTEGER,,,"Rented, not occupied",d4d0RJ0o005
h5,6,h0050004,,,INTEGER,,,For sale only,d4d0RJ0o006
h5,7,h0050005,,,INTEGER,,,"Sold, not occupied",d4d0RJ0o007
h5,8,h0050006,,,INTEGER,,,"For seasonal, recreational, or occasional use",d4d0RJ0o008
h5,9,h0050007,,,INTEGER,,,For migrant workers,d4d0RJ0o009
h5,10,h0050008,,,INTEGER,,,Other vacant,d4d0RJ0o00a
,,,,,,,,,
h6,1,id,1,,INTEGER64,,6,,d4d0RJ0p001
h6,2,geoid,,,VARCHAR,1,,,d4d0RJ0p002
h6,3,h0060001,,,INTEGER,,,Total:,d4d0RJ0p003
h6,4,h0060002,,,INTEGER,,,Householder who is White alone,d4d0RJ0p004
h6,5,h0060003,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0p005
h6,6,h0060004,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0p006
h6,7,h0060005,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0p007
h6,8,h0060006,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0p008
h6,9,h0060007,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0p009
h6,10,h0060008,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0p00a
,,,,,,,,,
h7,1,id,1,,INTEGER64,,6,,d4d0RJ0q001
h7,2,geoid,,,VARCHAR,1,,,d4d0RJ0q002
h7,3,h0070001,,,INTEGER,,,Total:,d4d0RJ0q003
h7,4,h0070002,,,INTEGER,,,Not Hispanic or Latino householder:,d4d0RJ0q004
h7,5,h0070003,,,INTEGER,,,Householder who is White alone,d4d0RJ0q005
h7,6,h0070004,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0q006
h7,7,h0070005,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0q007
h7,8,h0070006,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0q008
h7,9,h0070007,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0q009
h7,10,h0070008,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0q00a
h7,11,h0070009,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0q00b
h7,12,h0070010,,,INTEGER,,,Hispanic or Latino householder:,d4d0RJ0q00c
h7,13,h0070011,,,INTEGER,,,Householder who is White alone,d4d0RJ0q00d
h7,14,h0070012,,,INTEGER,,,Householder who is Black or African American alone,d4d0RJ0q00e
h7,15,h0070013,,,INTEGER,,,Householder who is American Indian and Alaska Native alone,d4d0RJ0q00f
h7,16,h0070014,,,INTEGER,,,Householder who is Asian alone,d4d0RJ0q00g
h7,17,h0070015,,,INTEGER,,,Householder who is Native Hawaiian and Other Pacific Islander alone,d4d0RJ0q00h
h7,18,h0070016,,,INTEGER,,,Householder who is Some Other Race alone,d4d0RJ0q00i
h7,19,h0070017,,,INTEGER,,,Householder who is Two or More Races,d4d0RJ0q00j
,,,,,,,,,
h8,1,id,1,,INTEGER64,,6,,d4d0RJ0r001
h8,2,geoid,,,VARCHAR,1,,,d4d0RJ0r002
h8,3,h0080001,,,INTEGER,,,Total races tallied for householders:,d4d0RJ0r003
h8,4,h0080002,,,INTEGER,,,White alone or in combination with one or more other races,d4d0RJ0r004
h8,5,h0080003,,,INTEGER,,,Black or African American alone or in combination with one or more other races,d4d0RJ0r005
h8,6,h0080004,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,d4d0RJ0r006
h8,7,h0080005,,,INTEGER,,,Asian alone or in combination with one or more other races,d4d0RJ0r007
h8,8,h0080006,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,d4d0RJ0r008
h8,9,h0080007,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,d4d0RJ0r009
,,,,,,,,,
h9,1,id,1,,INTEGER64,,6,,d4d0RJ0s001
h9,2,geoid,,,VARCHAR,1,,,d4d0RJ0s002
h9,3,h0090001,,,INTEGER,,,Total races tallied for householders:,d4d0RJ0s003
h9,4,h0090002,,,INTEGER,,,Total races tallied for Not Hispanic or Latino householders:,d4d0RJ0s004
h9,5,h0090003,,,INTEGER,,,White alone or in combination with one or more other races,d4d0RJ0s005
h9,6,h0090004,,,INTEGER,,,Black or African American alone or in combination with one or more other races,d4d0RJ0s006
h9,7,h0090005,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,d4d0RJ0s007
h9,8,h0090006,,,INTEGER,,,Asian alone or in combination with one or more other races,d4d0RJ0s008
h9,9,h0090007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,d4d0RJ0s009
h9,10,h0090008,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,d4d0RJ0s00a
h9,11,h0090009,,,INTEGER,,,Total races tallied for Hispanic or Latino householders:,d4d0RJ0s00b
h9,12,h0090010,,,INTEGER,,,White alone or in combination with one or more other races,d4d0RJ0s00c
h9,13,h0090011,,,INTEGER,,,Black or African American alone or in combination with one or more other races,d4d0RJ0s00d
h9,14,h0090012,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,d4d0RJ0s00e
h9,15,h0090013,,,INTEGER,,,Asian alone or in combination with one or more other races,d4d0RJ0s00f
h9,16,h0090014,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,d4d0RJ0s00g
h9,17,h0090015,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,d4d0RJ0s00h
,,,,,,,,,
p1,1,id,1,,INTEGER64,,6,,d4d0RJ0t001
p1,2,geoid,,,VARCHAR,1,,,d4d0RJ0t002
p1,3,p0010001,,,INTEGER,,,Total,d4d0RJ0t003
,,,,,,,,,
p10,1,id,1,,INTEGER64,,6,,d4d0RJ0u001
p10,2,geoid,,,VARCHAR,1,,,d4d0RJ0u002
p10,3,p0100001,,,INTEGER,,,Total:,d4d0RJ0u003
p10,4,p0100002,,,INTEGER,,,Population of one race:,d4d0RJ0u004
p10,5,p0100003,,,INTEGER,,,White alone,d4d0RJ0u005
p10,6,p0100004,,,INTEGER,,,Black or African American alone,d4d0RJ0u006
p10,7,p0100005,,,INTEGER,,,American Indian and Alaska Native alone,d4d0RJ0u007
p10,8,p0100006,,,INTEGER,,,Asian alone,d4d0RJ0u008
p10,9,p0100007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,d4d0RJ0u009
p10,10,p0100008,,,INTEGER,,,Some Other Race alone,d4d0RJ0u00a
p10,11,p0100009,,,INTEGER,,,Two or More Races:,d4d0RJ0u00b
p10,12,p0100010,,,INTEGER,,,Population of two races:,d4d0RJ0u00c
p10,13,p0100011,,,INTEGER,,,White; Black or African American,d4d0RJ0u00d
p10,14,p0100012,,,INTEGER,,,White; American Indian and Alaska Native,d4d0RJ0u00e
p10,15,p0100013,,,INTEGER,,,White; Asian,d4d0RJ0u00f
p10,16,p0100014,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00g
p10,17,p0100015,,,INTEGER,,,White; Some Other Race,d4d0RJ0u00h
p10,18,p0100016,,,INTEGER,,,Black or African American; American Indian and Alaska Native,d4d0RJ0u00i
p10,19,p0100017,,,INTEGER,,,Black or African American; Asian,d4d0RJ0u00j
p10,20,p0100018,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00k
p10,21,p0100019,,,INTEGER,,,Black or African American; Some Other Race,d4d0RJ0u00l
p10,22,p0100020,,,INTEGER,,,American Indian and Alaska Native; Asian,d4d0RJ0u00m
p10,23,p0100021,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,d4d0RJ0u00n
