table,column,datatype,size,transform,d_start,d_length,d_sequence,description
c24020,c24020033,float,,^jam_float,148,,,"Installation, maintenance, and repair occupations"
c24020,c24020033_m90,float,,^jam_float,148,,,Margin of error for: C24020033
c24020,c24020034,float,,^jam_float,149,,,"Production, transportation, and material moving occupations:"
c24020,c24020034_m90,float,,^jam_float,149,,,Margin of error for: C24020034
c24020,c24020035,float,,^jam_float,150,,,Production occupations
c24020,c24020035_m90,float,,^jam_float,150,,,Margin of error for: C24020035
c24020,c24020036,float,,^jam_float,151,,,Transportation occupations
c24020,c24020036_m90,float,,^jam_float,151,,,Margin of error for: C24020036
c24020,c24020037,float,,^jam_float,152,,,Material moving occupations
c24020,c24020037_m90,float,,^jam_float,152,,,Margin of error for: C24020037
c24020,c24020038,float,,^jam_float,153,,,Female:
c24020,c24020038_m90,float,,^jam_float,153,,,Margin of error for: C24020038
c24020,c24020039,float,,^jam_float,154,,,"Management, business, science, and arts occupations:"
c24020,c24020039_m90,float,,^jam_float,154,,,Margin of error for: C24020039
c24020,c24020040,float,,^jam_float,155,,,"Management, business, and financial occupations:"
c24020,c24020040_m90,float,,^jam_float,155,,,Margin of error for: C24020040
c24020,c24020041,float,,^jam_float,156,,,Management occupations
c24020,c24020041_m90,float,,^jam_float,156,,,Margin of error for: C24020041
c24020,c24020042,float,,^jam_float,157,,,Business and financial operations occupations
c24020,c24020042_m90,float,,^jam_float,157,,,Margin of error for: C24020042
c24020,c24020043,float,,^jam_float,158,,,"Computer, engineering, and science occupations:"
c24020,c24020043_m90,float,,^jam_float,158,,,Margin of error for: C24020043
c24020,c24020044,float,,^jam_float,159,,,Computer and mathematical occupations
c24020,c24020044_m90,float,,^jam_float,159,,,Margin of error for: C24020044
c24020,c24020045,float,,^jam_float,160,,,Architecture and engineering occupations
c24020,c24020045_m90,float,,^jam_float,160,,,Margin of error for: C24020045
c24020,c24020046,float,,^jam_float,161,,,"Life, physical, and social science occupations"
c24020,c24020046_m90,float,,^jam_float,161,,,Margin of error for: C24020046
c24020,c24020047,float,,^jam_float,162,,,"Education, legal, community service, arts, and media occupations:"
c24020,c24020047_m90,float,,^jam_float,162,,,Margin of error for: C24020047
c24020,c24020048,float,,^jam_float,163,,,Community and social service occupations
c24020,c24020048_m90,float,,^jam_float,163,,,Margin of error for: C24020048
c24020,c24020049,float,,^jam_float,164,,,Legal occupations
c24020,c24020049_m90,float,,^jam_float,164,,,Margin of error for: C24020049
c24020,c24020050,float,,^jam_float,165,,,"Education, training, and library occupations"
c24020,c24020050_m90,float,,^jam_float,165,,,Margin of error for: C24020050
c24020,c24020051,float,,^jam_float,166,,,"Arts, design, entertainment, sports, and media occupations"
c24020,c24020051_m90,float,,^jam_float,166,,,Margin of error for: C24020051
c24020,c24020052,float,,^jam_float,167,,,Healthcare practitioners and technical occupations:
c24020,c24020052_m90,float,,^jam_float,167,,,Margin of error for: C24020052
c24020,c24020053,float,,^jam_float,168,,,Health diagnosing and treating practitioners and other technical occupations
c24020,c24020053_m90,float,,^jam_float,168,,,Margin of error for: C24020053
c24020,c24020054,float,,^jam_float,169,,,Health technologists and technicians
c24020,c24020054_m90,float,,^jam_float,169,,,Margin of error for: C24020054
c24020,c24020055,float,,^jam_float,170,,,Service occupations:
c24020,c24020055_m90,float,,^jam_float,170,,,Margin of error for: C24020055
c24020,c24020056,float,,^jam_float,171,,,Healthcare support occupations
c24020,c24020056_m90,float,,^jam_float,171,,,Margin of error for: C24020056
c24020,c24020057,float,,^jam_float,172,,,Protective service occupations:
c24020,c24020057_m90,float,,^jam_float,172,,,Margin of error for: C24020057
c24020,c24020058,float,,^jam_float,173,,,"Fire fighting and prevention, and other protective service workers including supervisors"
c24020,c24020058_m90,float,,^jam_float,173,,,Margin of error for: C24020058
c24020,c24020059,float,,^jam_float,174,,,Law enforcement workers including supervisors
c24020,c24020059_m90,float,,^jam_float,174,,,Margin of error for: C24020059
c24020,c24020060,float,,^jam_float,175,,,Food preparation and serving related occupations
c24020,c24020060_m90,float,,^jam_float,175,,,Margin of error for: C24020060
c24020,c24020061,float,,^jam_float,176,,,Building and grounds cleaning and maintenance occupations
c24020,c24020061_m90,float,,^jam_float,176,,,Margin of error for: C24020061
c24020,c24020062,float,,^jam_float,177,,,Personal care and service occupations
c24020,c24020062_m90,float,,^jam_float,177,,,Margin of error for: C24020062
c24020,c24020063,float,,^jam_float,178,,,Sales and office occupations:
c24020,c24020063_m90,float,,^jam_float,178,,,Margin of error for: C24020063
c24020,c24020064,float,,^jam_float,179,,,Sales and related occupations
c24020,c24020064_m90,float,,^jam_float,179,,,Margin of error for: C24020064
c24020,c24020065,float,,^jam_float,180,,,Office and administrative support occupations
c24020,c24020065_m90,float,,^jam_float,180,,,Margin of error for: C24020065
c24020,c24020066,float,,^jam_float,181,,,"Natural resources, construction, and maintenance occupations:"
c24020,c24020066_m90,float,,^jam_float,181,,,Margin of error for: C24020066
c24020,c24020067,float,,^jam_float,182,,,"Farming, fishing, and forestry occupations"
c24020,c24020067_m90,float,,^jam_float,182,,,Margin of error for: C24020067
c24020,c24020068,float,,^jam_float,183,,,Construction and extraction occupations
c24020,c24020068_m90,float,,^jam_float,183,,,Margin of error for: C24020068
c24020,c24020069,float,,^jam_float,184,,,"Installation, maintenance, and repair occupations"
c24020,c24020069_m90,float,,^jam_float,184,,,Margin of error for: C24020069
c24020,c24020070,float,,^jam_float,185,,,"Production, transportation, and material moving occupations:"
c24020,c24020070_m90,float,,^jam_float,185,,,Margin of error for: C24020070
c24020,c24020071,float,,^jam_float,186,,,Production occupations
c24020,c24020071_m90,float,,^jam_float,186,,,Margin of error for: C24020071
c24020,c24020072,float,,^jam_float,187,,,Transportation occupations
c24020,c24020072_m90,float,,^jam_float,187,,,Margin of error for: C24020072
c24020,c24020073,float,,^jam_float,188,,,Material moving occupations
c24020,c24020073_m90,float,,^jam_float,188,,,Margin of error for: C24020073
,,,,,,,,
b02013,id,int,,,173,1,15,Some Other Race Alone Or In Combination With One Or More Other Races
b02013,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
b02013,chariter,str,3,,3,,,Character Iteration
b02013,sequence,int,4,,4,,,Sequence Number
b02013,logrecno,int,7,,5,,,Logical Record Number
b02013,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
b02013,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
b02013,sumlevel,int,,||row.geoid.sl,,,,Summary Level
b02013,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
b02013,b02013001,float,,^jam_float,173,,,Total:
b02013,b02013001_m90,float,,^jam_float,173,,,Margin of error for: B02013001
,,,,,,,,
c24010i,id,int,,,202,13,112,Sex By Occupation For The Civilian Employed Population 16 Years And Over (Hispanic Or Latino)
c24010i,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
c24010i,chariter,str,3,,3,,,Character Iteration
c24010i,sequence,int,4,,4,,,Sequence Number
c24010i,logrecno,int,7,,5,,,Logical Record Number
c24010i,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
c24010i,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
c24010i,sumlevel,int,,||row.geoid.sl,,,,Summary Level
c24010i,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
c24010i,c24010i001,float,,^jam_float,202,,,Total:
c24010i,c24010i001_m90,float,,^jam_float,202,,,Margin of error for: C24010I001
c24010i,c24010i002,float,,^jam_float,203,,,Male:
c24010i,c24010i002_m90,float,,^jam_float,203,,,Margin of error for: C24010I002
c24010i,c24010i003,float,,^jam_float,204,,,"Management, business, science, and arts occupations:"
c24010i,c24010i003_m90,float,,^jam_float,204,,,Margin of error for: C24010I003
c24010i,c24010i004,float,,^jam_float,205,,,Service occupations:
c24010i,c24010i004_m90,float,,^jam_float,205,,,Margin of error for: C24010I004
c24010i,c24010i005,float,,^jam_float,206,,,Sales and office occupations:
c24010i,c24010i005_m90,float,,^jam_float,206,,,Margin of error for: C24010I005
c24010i,c24010i006,float,,^jam_float,207,,,"Natural resources, construction, and maintenance occupations:"
c24010i,c24010i006_m90,float,,^jam_float,207,,,Margin of error for: C24010I006
c24010i,c24010i007,float,,^jam_float,208,,,"Production, transportation, and material moving occupations:"
c24010i,c24010i007_m90,float,,^jam_float,208,,,Margin of error for: C24010I007
c24010i,c24010i008,float,,^jam_float,209,,,Female:
c24010i,c24010i008_m90,float,,^jam_float,209,,,Margin of error for: C24010I008
c24010i,c24010i009,float,,^jam_float,210,,,"Management, business, science, and arts occupations:"
c24010i,c24010i009_m90,float,,^jam_float,210,,,Margin of error for: C24010I009
c24010i,c24010i010,float,,^jam_float,211,,,Service occupations:
c24010i,c24010i010_m90,float,,^jam_float,211,,,Margin of error for: C24010I010
c24010i,c24010i011,float,,^jam_float,212,,,Sales and office occupations:
c24010i,c24010i011_m90,float,,^jam_float,212,,,Margin of error for: C24010I011
c24010i,c24010i012,float,,^jam_float,213,,,"Natural resources, construction, and maintenance occupations:"
c24010i,c24010i012_m90,float,,^jam_float,213,,,Margin of error for: C24010I012
c24010i,c24010i013,float,,^jam_float,214,,,"Production, transportation, and material moving occupations:"
c24010i,c24010i013_m90,float,,^jam_float,214,,,Margin of error for: C24010I013
,,,,,,,,
b01002g,id,int,,,183,3,14,Median Age By Sex (Two Or More Races)
b01002g,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
b01002g,chariter,str,3,,3,,,Character Iteration
b01002g,sequence,int,4,,4,,,Sequence Number
b01002g,logrecno,int,7,,5,,,Logical Record Number
b01002g,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
b01002g,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
b01002g,sumlevel,int,,||row.geoid.sl,,,,Summary Level
b01002g,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
b01002g,b01002g001,float,,^jam_float,183,,,Total:
b01002g,b01002g001_m90,float,,^jam_float,183,,,Margin of error for: B01002G001
b01002g,b01002g002,float,,^jam_float,184,,,Male
b01002g,b01002g002_m90,float,,^jam_float,184,,,Margin of error for: B01002G002
b01002g,b01002g003,float,,^jam_float,185,,,Female
b01002g,b01002g003_m90,float,,^jam_float,185,,,Margin of error for: B01002G003
,,,,,,,,
c24010g,id,int,,,179,13,111,Sex By Occupation For The Civilian Employed Population 16 Years And Over (Two Or More Races)
c24010g,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
c24010g,chariter,str,3,,3,,,Character Iteration
c24010g,sequence,int,4,,4,,,Sequence Number
c24010g,logrecno,int,7,,5,,,Logical Record Number
c24010g,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
c24010g,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
c24010g,sumlevel,int,,||row.geoid.sl,,,,Summary Level
c24010g,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
c24010g,c24010g001,float,,^jam_float,179,,,Total:
c24010g,c24010g001_m90,float,,^jam_float,179,,,Margin of error for: C24010G001
c24010g,c24010g002,float,,^jam_float,180,,,Male:
c24010g,c24010g002_m90,float,,^jam_float,180,,,Margin of error for: C24010G002
c24010g,c24010g003,float,,^jam_float,181,,,"Management, business, science, and arts occupations:"
c24010g,c24010g003_m90,float,,^jam_float,181,,,Margin of error for: C24010G003
c24010g,c24010g004,float,,^jam_float,182,,,Service occupations:
c24010g,c24010g004_m90,float,,^jam_float,182,,,Margin of error for: C24010G004
c24010g,c24010g005,float,,^jam_float,183,,,Sales and office occupations:
c24010g,c24010g005_m90,float,,^jam_float,183,,,Margin of error for: C24010G005
c24010g,c24010g006,float,,^jam_float,184,,,"Natural resources, construction, and maintenance occupations:"
c24010g,c24010g006_m90,float,,^jam_float,184,,,Margin of error for: C24010G006
c24010g,c24010g007,float,,^jam_float,185,,,"Production, transportation, and material moving occupations:"
c24010g,c24010g007_m90,float,,^jam_float,185,,,Margin of error for: C24010G007
c24010g,c24010g008,float,,^jam_float,186,,,Female:
c24010g,c24010g008_m90,float,,^jam_float,186,,,Margin of error for: C24010G008
c24010g,c24010g009,float,,^jam_float,187,,,"Management, business, science, and arts occupations:"
c24010g,c24010g009_m90,float,,^jam_float,187,,,Margin of error for: C24010G009
c24010g,c24010g010,float,,^jam_float,188,,,Service occupations:
c24010g,c24010g010_m90,float,,^jam_float,188,,,Margin of error for: C24010G010
c24010g,c24010g011,float,,^jam_float,189,,,Sales and office occupations:
c24010g,c24010g011_m90,float,,^jam_float,189,,,Margin of error for: C24010G011
c24010g,c24010g012,float,,^jam_float,190,,,"Natural resources, construction, and maintenance occupations:"
c24010g,c24010g012_m90,float,,^jam_float,190,,,Margin of error for: C24010G012
c24010g,c24010g013,float,,^jam_float,191,,,"Production, transportation, and material moving occupations:"
c24010g,c24010g013_m90,float,,^jam_float,191,,,Margin of error for: C24010G013
,,,,,,,,
b17004,id,int,,,102,19,65,Poverty Status In The Past 12 Months Of Individuals By Sex By Work Experience
b17004,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
b17004,chariter,str,3,,3,,,Character Iteration
b17004,sequence,int,4,,4,,,Sequence Number
b17004,logrecno,int,7,,5,,,Logical Record Number
b17004,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
b17004,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
b17004,sumlevel,int,,||row.geoid.sl,,,,Summary Level
b17004,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
b17004,b17004001,float,,^jam_float,102,,,Total:
b17004,b17004001_m90,float,,^jam_float,102,,,Margin of error for: B17004001
b17004,b17004002,float,,^jam_float,103,,,Income in the past 12 months below poverty level:
b17004,b17004002_m90,float,,^jam_float,103,,,Margin of error for: B17004002
b17004,b17004003,float,,^jam_float,104,,,Male:
b17004,b17004003_m90,float,,^jam_float,104,,,Margin of error for: B17004003
b17004,b17004004,float,,^jam_float,105,,,"Worked full time, year-round"
b17004,b17004004_m90,float,,^jam_float,105,,,Margin of error for: B17004004
b17004,b17004005,float,,^jam_float,106,,,Worked part-time or part-year
b17004,b17004005_m90,float,,^jam_float,106,,,Margin of error for: B17004005
b17004,b17004006,float,,^jam_float,107,,,Did not work
b17004,b17004006_m90,float,,^jam_float,107,,,Margin of error for: B17004006
b17004,b17004007,float,,^jam_float,108,,,Female:
b17004,b17004007_m90,float,,^jam_float,108,,,Margin of error for: B17004007
b17004,b17004008,float,,^jam_float,109,,,"Worked full time, year-round"
b17004,b17004008_m90,float,,^jam_float,109,,,Margin of error for: B17004008
b17004,b17004009,float,,^jam_float,110,,,Worked part-time or part-year
b17004,b17004009_m90,float,,^jam_float,110,,,Margin of error for: B17004009
b17004,b17004010,float,,^jam_float,111,,,Did not work
b17004,b17004010_m90,float,,^jam_float,111,,,Margin of error for: B17004010
b17004,b17004011,float,,^jam_float,112,,,Income in the past 12 months at or above poverty level:
b17004,b17004011_m90,float,,^jam_float,112,,,Margin of error for: B17004011
b17004,b17004012,float,,^jam_float,113,,,Male:
b17004,b17004012_m90,float,,^jam_float,113,,,Margin of error for: B17004012
b17004,b17004013,float,,^jam_float,114,,,"Worked full time, year-round"
b17004,b17004013_m90,float,,^jam_float,114,,,Margin of error for: B17004013
b17004,b17004014,float,,^jam_float,115,,,Worked part-time or part-year
b17004,b17004014_m90,float,,^jam_float,115,,,Margin of error for: B17004014
b17004,b17004015,float,,^jam_float,116,,,Did not work
b17004,b17004015_m90,float,,^jam_float,116,,,Margin of error for: B17004015
b17004,b17004016,float,,^jam_float,117,,,Female:
b17004,b17004016_m90,float,,^jam_float,117,,,Margin of error for: B17004016
b17004,b17004017,float,,^jam_float,118,,,"Worked full time, year-round"
b17004,b17004017_m90,float,,^jam_float,118,,,Margin of error for: B17004017
b17004,b17004018,float,,^jam_float,119,,,Worked part-time or part-year
b17004,b17004018_m90,float,,^jam_float,119,,,Margin of error for: B17004018
b17004,b17004019,float,,^jam_float,120,,,Did not work
b17004,b17004019_m90,float,,^jam_float,120,,,Margin of error for: B17004019
,,,,,,,,
c23002g,id,int,,,192,27,103,Sex By Age By Employment Status For The Population 16 Years And Over (Two Or More Races)
c23002g,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
c23002g,chariter,str,3,,3,,,Character Iteration
c23002g,sequence,int,4,,4,,,Sequence Number
c23002g,logrecno,int,7,,5,,,Logical Record Number
c23002g,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
c23002g,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
c23002g,sumlevel,int,,||row.geoid.sl,,,,Summary Level
c23002g,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
c23002g,c23002g001,float,,^jam_float,192,,,Total:
c23002g,c23002g001_m90,float,,^jam_float,192,,,Margin of error for: C23002G001
c23002g,c23002g002,float,,^jam_float,193,,,Male:
c23002g,c23002g002_m90,float,,^jam_float,193,,,Margin of error for: C23002G002
c23002g,c23002g003,float,,^jam_float,194,,,16 to 64 years:
c23002g,c23002g003_m90,float,,^jam_float,194,,,Margin of error for: C23002G003
c23002g,c23002g004,float,,^jam_float,195,,,In labor force:
c23002g,c23002g004_m90,float,,^jam_float,195,,,Margin of error for: C23002G004
c23002g,c23002g005,float,,^jam_float,196,,,In Armed Forces
c23002g,c23002g005_m90,float,,^jam_float,196,,,Margin of error for: C23002G005
c23002g,c23002g006,float,,^jam_float,197,,,Civilian:
c23002g,c23002g006_m90,float,,^jam_float,197,,,Margin of error for: C23002G006
c23002g,c23002g007,float,,^jam_float,198,,,Employed
c23002g,c23002g007_m90,float,,^jam_float,198,,,Margin of error for: C23002G007
c23002g,c23002g008,float,,^jam_float,199,,,Unemployed
c23002g,c23002g008_m90,float,,^jam_float,199,,,Margin of error for: C23002G008
c23002g,c23002g009,float,,^jam_float,200,,,Not in labor force
c23002g,c23002g009_m90,float,,^jam_float,200,,,Margin of error for: C23002G009
c23002g,c23002g010,float,,^jam_float,201,,,65 years and over:
c23002g,c23002g010_m90,float,,^jam_float,201,,,Margin of error for: C23002G010
c23002g,c23002g011,float,,^jam_float,202,,,In labor force:
c23002g,c23002g011_m90,float,,^jam_float,202,,,Margin of error for: C23002G011
c23002g,c23002g012,float,,^jam_float,203,,,Employed
c23002g,c23002g012_m90,float,,^jam_float,203,,,Margin of error for: C23002G012
c23002g,c23002g013,float,,^jam_float,204,,,Unemployed
c23002g,c23002g013_m90,float,,^jam_float,204,,,Margin of error for: C23002G013
c23002g,c23002g014,float,,^jam_float,205,,,Not in labor force
c23002g,c23002g014_m90,float,,^jam_float,205,,,Margin of error for: C23002G014
c23002g,c23002g015,float,,^jam_float,206,,,Female:
c23002g,c23002g015_m90,float,,^jam_float,206,,,Margin of error for: C23002G015
c23002g,c23002g016,float,,^jam_float,207,,,16 to 64 years:
c23002g,c23002g016_m90,float,,^jam_float,207,,,Margin of error for: C23002G016
c23002g,c23002g017,float,,^jam_float,208,,,In labor force:
c23002g,c23002g017_m90,float,,^jam_float,208,,,Margin of error for: C23002G017
c23002g,c23002g018,float,,^jam_float,209,,,In Armed Forces
c23002g,c23002g018_m90,float,,^jam_float,209,,,Margin of error for: C23002G018
c23002g,c23002g019,float,,^jam_float,210,,,Civilian:
c23002g,c23002g019_m90,float,,^jam_float,210,,,Margin of error for: C23002G019
c23002g,c23002g020,float,,^jam_float,211,,,Employed
c23002g,c23002g020_m90,float,,^jam_float,211,,,Margin of error for: C23002G020
c23002g,c23002g021,float,,^jam_float,212,,,Unemployed
c23002g,c23002g021_m90,float,,^jam_float,212,,,Margin of error for: C23002G021
c23002g,c23002g022,float,,^jam_float,213,,,Not in labor force
c23002g,c23002g022_m90,float,,^jam_float,213,,,Margin of error for: C23002G022
c23002g,c23002g023,float,,^jam_float,214,,,65 years and over:
c23002g,c23002g023_m90,float,,^jam_float,214,,,Margin of error for: C23002G023
c23002g,c23002g024,float,,^jam_float,215,,,In labor force:
c23002g,c23002g024_m90,float,,^jam_float,215,,,Margin of error for: C23002G024
c23002g,c23002g025,float,,^jam_float,216,,,Employed
c23002g,c23002g025_m90,float,,^jam_float,216,,,Margin of error for: C23002G025
c23002g,c23002g026,float,,^jam_float,217,,,Unemployed
c23002g,c23002g026_m90,float,,^jam_float,217,,,Margin of error for: C23002G026
c23002g,c23002g027,float,,^jam_float,218,,,Not in labor force
c23002g,c23002g027_m90,float,,^jam_float,218,,,Margin of error for: C23002G027
,,,,,,,,
b17002,id,int,,,66,13,65,Ratio Of Income To Poverty Level In The Past 12 Months
b17002,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
b17002,chariter,str,3,,3,,,Character Iteration
b17002,sequence,int,4,,4,,,Sequence Number
b17002,logrecno,int,7,,5,,,Logical Record Number
b17002,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
b17002,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
b17002,sumlevel,int,,||row.geoid.sl,,,,Summary Level
b17002,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
b17002,b17002001,float,,^jam_float,66,,,Total:
b17002,b17002001_m90,float,,^jam_float,66,,,Margin of error for: B17002001
b17002,b17002002,float,,^jam_float,67,,,Under .50
b17002,b17002002_m90,float,,^jam_float,67,,,Margin of error for: B17002002
b17002,b17002003,float,,^jam_float,68,,,.50 to .74
b17002,b17002003_m90,float,,^jam_float,68,,,Margin of error for: B17002003
b17002,b17002004,float,,^jam_float,69,,,.75 to .99
b17002,b17002004_m90,float,,^jam_float,69,,,Margin of error for: B17002004
b17002,b17002005,float,,^jam_float,70,,,1.00 to 1.24
b17002,b17002005_m90,float,,^jam_float,70,,,Margin of error for: B17002005
b17002,b17002006,float,,^jam_float,71,,,1.25 to 1.49
b17002,b17002006_m90,float,,^jam_float,71,,,Margin of error for: B17002006
b17002,b17002007,float,,^jam_float,72,,,1.50 to 1.74
b17002,b17002007_m90,float,,^jam_float,72,,,Margin of error for: B17002007
b17002,b17002008,float,,^jam_float,73,,,1.75 to 1.84
b17002,b17002008_m90,float,,^jam_float,73,,,Margin of error for: B17002008
b17002,b17002009,float,,^jam_float,74,,,1.85 to 1.99
b17002,b17002009_m90,float,,^jam_float,74,,,Margin of error for: B17002009
b17002,b17002010,float,,^jam_float,75,,,2.00 to 2.99
b17002,b17002010_m90,float,,^jam_float,75,,,Margin of error for: B17002010
b17002,b17002011,float,,^jam_float,76,,,3.00 to 3.99
b17002,b17002011_m90,float,,^jam_float,76,,,Margin of error for: B17002011
