table,sequence_id,column,datatype,description
geofile251,9,geoid,str,Geographic Identifier
geofile251,10,name,str,Area Name
,,,,
geofile510,1,id,int,Geofile for: 510
geofile510,2,fileid,str,Always equal to ACS Summary File identification
geofile510,3,stusab,str,State Postal Abbreviation
geofile510,4,sumlevel,int,Summary Level
geofile510,5,component,str,Geographic Component
geofile510,6,logrecno,int,Logical Record Number
geofile510,7,state,int,State (FIPS Code)
geofile510,8,county,int,County of current residence
geofile510,9,cdcurr,int,Current Congressional District ***
geofile510,10,geoid,str,Geographic Identifier
geofile510,11,name,str,Area Name
,,,,
geofile250,1,id,int,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land
geofile250,2,fileid,str,Always equal to ACS Summary File identification
geofile250,3,stusab,str,State Postal Abbreviation
geofile250,4,sumlevel,int,Summary Level
geofile250,5,component,str,Geographic Component
geofile250,6,logrecno,int,Logical Record Number
geofile250,7,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile250,8,geoid,str,Geographic Identifier
geofile250,9,name,str,Area Name
,,,,
geofile40,1,id,int,Geofile for: State
geofile40,2,fileid,str,Always equal to ACS Summary File identification
geofile40,3,stusab,str,State Postal Abbreviation
geofile40,4,sumlevel,int,Summary Level
geofile40,5,component,str,Geographic Component
geofile40,6,logrecno,int,Logical Record Number
geofile40,7,state,int,State (FIPS Code)
geofile40,8,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile40,9,ur,str,Urban/Rural
geofile40,10,pci,str,Principal City Indicator
geofile40,11,geoid,str,Geographic Identifier
geofile40,12,name,str,Area Name
,,,,
geofile341,1,id,int,Geofile for: State-Combined Statistical Area-CBSA
geofile341,2,fileid,str,Always equal to ACS Summary File identification
geofile341,3,stusab,str,State Postal Abbreviation
geofile341,4,sumlevel,int,Summary Level
geofile341,5,component,str,Geographic Component
geofile341,6,logrecno,int,Logical Record Number
geofile341,7,state,int,State (FIPS Code)
geofile341,8,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile341,9,csa,int,Combined Statistical Area
geofile341,10,geoid,str,Geographic Identifier
geofile341,11,name,str,Area Name
,,,,
geofile365,1,id,int,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division-County
geofile365,2,fileid,str,Always equal to ACS Summary File identification
geofile365,3,stusab,str,State Postal Abbreviation
geofile365,4,sumlevel,int,Summary Level
geofile365,5,component,str,Geographic Component
geofile365,6,logrecno,int,Logical Record Number
geofile365,7,state,int,State (FIPS Code)
geofile365,8,county,int,County of current residence
geofile365,9,necta,str,New England City and Town Area
geofile365,10,nectadiv,str,New England City and Town Area Division
geofile365,11,geoid,str,Geographic Identifier
geofile365,12,name,str,Area Name
,,,,
geofile360,1,id,int,Geofile for: State-New England City and Town Area
geofile360,2,fileid,str,Always equal to ACS Summary File identification
geofile360,3,stusab,str,State Postal Abbreviation
geofile360,4,sumlevel,int,Summary Level
geofile360,5,component,str,Geographic Component
geofile360,6,logrecno,int,Logical Record Number
geofile360,7,state,int,State (FIPS Code)
geofile360,8,necta,str,New England City and Town Area
geofile360,9,geoid,str,Geographic Identifier
geofile360,10,name,str,Area Name
,,,,
geofile140,1,id,int,Geofile for: Census Tract
geofile140,2,fileid,str,Always equal to ACS Summary File identification
geofile140,3,stusab,str,State Postal Abbreviation
geofile140,4,sumlevel,int,Summary Level
geofile140,5,component,str,Geographic Component
geofile140,6,logrecno,int,Logical Record Number
geofile140,7,state,int,State (FIPS Code)
geofile140,8,county,int,County of current residence
geofile140,9,tract,int,Census Tract
geofile140,10,geoid,str,Geographic Identifier
geofile140,11,name,str,Area Name
,,,,
geofile351,1,id,int,Geofile for: New England City and Town Area-State
geofile351,2,fileid,str,Always equal to ACS Summary File identification
geofile351,3,stusab,str,State Postal Abbreviation
geofile351,4,sumlevel,int,Summary Level
geofile351,5,component,str,Geographic Component
geofile351,6,logrecno,int,Logical Record Number
geofile351,7,state,int,State (FIPS Code)
geofile351,8,necta,str,New England City and Town Area
geofile351,9,geoid,str,Geographic Identifier
geofile351,10,name,str,Area Name
,,,,
geofile960,1,id,int,Geofile for: State-High School District
geofile960,2,fileid,str,Always equal to ACS Summary File identification
geofile960,3,stusab,str,State Postal Abbreviation
geofile960,4,sumlevel,int,Summary Level
geofile960,5,component,str,Geographic Component
geofile960,6,logrecno,int,Logical Record Number
geofile960,7,state,int,State (FIPS Code)
geofile960,8,sdsec,int,State-School District (Secondary)
geofile960,9,geoid,str,Geographic Identifier
geofile960,10,name,str,Area Name
,,,,
geofile,1,id,int,
geofile,2,fileid,str,Always equal to ACS Summary File identification
geofile,3,stusab,str,State Postal Abbreviation
geofile,4,sumlevel,int,Summary Level
geofile,5,component,str,Geographic Component
geofile,6,logrecno,int,Logical Record Number
geofile,7,us,str,US
geofile,8,region,str,Census Region
geofile,9,division,str,Census Division
geofile,10,statece,str,State (Census Code)
geofile,11,state,int,State (FIPS Code)
geofile,12,county,int,County of current residence
geofile,13,cousub,int,County Subdivision (FIPS)
geofile,14,place,int,Place (FIPS Code)
geofile,15,tract,int,Census Tract
geofile,16,blkgrp,int,Block Group
geofile,17,concit,str,Consolidated City
geofile,18,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile,19,aianhhfp,str,American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)
geofile,20,aihhtli,str,American Indian Trust Land/Hawaiian Home Land Indicator
geofile,21,aitsce,str,American Indian Tribal Subdivision (Census)
geofile,22,aits,str,American Indian Tribal Subdivision (FIPS)
geofile,23,anrc,str,Alaska Native Regional Corporation (FIPS)
geofile,24,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile,25,csa,int,Combined Statistical Area
geofile,26,metdiv,int,Metropolitan Statistical Area-Metropolitan Division
geofile,27,macc,str,Metropolitan Area Central City
geofile,28,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile,29,necta,str,New England City and Town Area
geofile,30,cnecta,str,New England City and Town Combined Statistical Area
geofile,31,nectadiv,str,New England City and Town Area Division
geofile,32,ua,int,Urban Area
geofile,33,blank33,str,
geofile,34,cdcurr,int,Current Congressional District ***
geofile,35,sldu,str,State Legislative District Upper
geofile,36,sldl,str,State Legislative District Lower
geofile,37,blank37,str,
geofile,38,blank38,str,
geofile,39,zcta5,str,5-digit ZIP Code Tabulation Area
geofile,40,submcd,str,Subminor Civil Division (FIPS)
geofile,41,sdelm,int,State-School District (Elementary)
geofile,42,sdsec,int,State-School District (Secondary)
geofile,43,sduni,int,State-School District (Unified)
geofile,44,ur,str,Urban/Rural
geofile,45,pci,str,Principal City Indicator
geofile,46,blank46,str,
geofile,47,blank47,str,
geofile,48,puma5,int,Public Use Microdata Area – 5% File
geofile,49,blank49,str,
geofile,50,geoid,str,Geographic Identifier
geofile,51,name,str,Area Name
geofile,52,bttr,str,Tribal Tract
geofile,53,btbg,str,Tribal Block Group
geofile,54,blank54,str,
,,,,
geofile150,1,id,int,Geofile for: Census Tract-Block Group
geofile150,2,fileid,str,Always equal to ACS Summary File identification
geofile150,3,stusab,str,State Postal Abbreviation
geofile150,4,sumlevel,int,Summary Level
geofile150,5,component,str,Geographic Component
geofile150,6,logrecno,int,Logical Record Number
geofile150,7,state,int,State (FIPS Code)
geofile150,8,county,int,County of current residence
geofile150,9,tract,int,Census Tract
geofile150,10,blkgrp,int,Block Group
geofile150,11,geoid,str,Geographic Identifier
geofile150,12,name,str,Area Name
,,,,
geofile500,1,id,int,Geofile for: Congressional District
geofile500,2,fileid,str,Always equal to ACS Summary File identification
geofile500,3,stusab,str,State Postal Abbreviation
geofile500,4,sumlevel,int,Summary Level
geofile500,5,component,str,Geographic Component
geofile500,6,logrecno,int,Logical Record Number
geofile500,7,state,int,State (FIPS Code)
geofile500,8,cdcurr,int,Current Congressional District ***
geofile500,9,geoid,str,Geographic Identifier
geofile500,10,name,str,Area Name
,,,,
geofile331,1,id,int,Geofile for: Combined Statistical Area-State
geofile331,2,fileid,str,Always equal to ACS Summary File identification
geofile331,3,stusab,str,State Postal Abbreviation
geofile331,4,sumlevel,int,Summary Level
geofile331,5,component,str,Geographic Component
geofile331,6,logrecno,int,Logical Record Number
geofile331,7,state,int,State (FIPS Code)
geofile331,8,csa,int,Combined Statistical Area
geofile331,9,geoid,str,Geographic Identifier
geofile331,10,name,str,Area Name
,,,,
geofile20,1,id,int,Geofile for: Region
geofile20,2,fileid,str,Always equal to ACS Summary File identification
geofile20,3,stusab,str,State Postal Abbreviation
geofile20,4,sumlevel,int,Summary Level
geofile20,5,component,str,Geographic Component
geofile20,6,logrecno,int,Logical Record Number
geofile20,7,region,str,Census Region
geofile20,8,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile20,9,ur,str,Urban/Rural
geofile20,10,pci,str,Principal City Indicator
geofile20,11,geoid,str,Geographic Identifier
geofile20,12,name,str,Area Name
,,,,
geofile312,1,id,int,Geofile for: CBSA-State-Principal City
geofile312,2,fileid,str,Always equal to ACS Summary File identification
geofile312,3,stusab,str,State Postal Abbreviation
geofile312,4,sumlevel,int,Summary Level
geofile312,5,component,str,Geographic Component
geofile312,6,logrecno,int,Logical Record Number
geofile312,7,state,int,State (FIPS Code)
geofile312,8,place,int,Place (FIPS Code)
geofile312,9,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile312,10,pci,str,Principal City Indicator
geofile312,11,geoid,str,Geographic Identifier
geofile312,12,name,str,Area Name
,,,,
geofile364,1,id,int,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division
geofile364,2,fileid,str,Always equal to ACS Summary File identification
geofile364,3,stusab,str,State Postal Abbreviation
geofile364,4,sumlevel,int,Summary Level
geofile364,5,component,str,Geographic Component
geofile364,6,logrecno,int,Logical Record Number
geofile364,7,state,int,State (FIPS Code)
geofile364,8,necta,str,New England City and Town Area
geofile364,9,nectadiv,str,New England City and Town Area Division
geofile364,10,geoid,str,Geographic Identifier
geofile364,11,name,str,Area Name
,,,,
geofile292,1,id,int,Geofile for: Specified American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract
geofile292,2,fileid,str,Always equal to ACS Summary File identification
geofile292,3,stusab,str,State Postal Abbreviation
geofile292,4,sumlevel,int,Summary Level
geofile292,5,component,str,Geographic Component
geofile292,6,logrecno,int,Logical Record Number
geofile292,7,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile292,8,aihhtli,str,American Indian Trust Land/Hawaiian Home Land Indicator
geofile292,9,geoid,str,Geographic Identifier
geofile292,10,name,str,Area Name
geofile292,11,bttr,str,Tribal Tract
,,,,
geofile230,1,id,int,Geofile for: State-Alaska Native Regional Corporation
geofile230,2,fileid,str,Always equal to ACS Summary File identification
geofile230,3,stusab,str,State Postal Abbreviation
geofile230,4,sumlevel,int,Summary Level
geofile230,5,component,str,Geographic Component
geofile230,6,logrecno,int,Logical Record Number
geofile230,7,state,int,State (FIPS Code)
geofile230,8,anrc,str,Alaska Native Regional Corporation (FIPS)
geofile230,9,geoid,str,Geographic Identifier
geofile230,10,name,str,Area Name
,,,,
geofile361,1,id,int,Geofile for: State-New England City and Town Area-Principal City
geofile361,2,fileid,str,Always equal to ACS Summary File identification
geofile361,3,stusab,str,State Postal Abbreviation
geofile361,4,sumlevel,int,Summary Level
geofile361,5,component,str,Geographic Component
geofile361,6,logrecno,int,Logical Record Number
geofile361,7,state,int,State (FIPS Code)
geofile361,8,place,int,Place (FIPS Code)
geofile361,9,necta,str,New England City and Town Area
geofile361,10,geoid,str,Geographic Identifier
geofile361,11,name,str,Area Name
,,,,
geofile155,1,id,int,Geofile for: Place-County
geofile155,2,fileid,str,Always equal to ACS Summary File identification
geofile155,3,stusab,str,State Postal Abbreviation
geofile155,4,sumlevel,int,Summary Level
geofile155,5,component,str,Geographic Component
geofile155,6,logrecno,int,Logical Record Number
geofile155,7,state,int,State (FIPS Code)
geofile155,8,county,int,County of current residence
geofile155,9,place,int,Place (FIPS Code)
geofile155,10,geoid,str,Geographic Identifier
geofile155,11,name,str,Area Name
,,,,
geofile280,1,id,int,Geofile for: State-American Indian Area/Alaska Native Area/Hawaiian Home Land
geofile280,2,fileid,str,Always equal to ACS Summary File identification
geofile280,3,stusab,str,State Postal Abbreviation
geofile280,4,sumlevel,int,Summary Level
geofile280,5,component,str,Geographic Component
geofile280,6,logrecno,int,Logical Record Number
geofile280,7,state,int,State (FIPS Code)
geofile280,8,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile280,9,geoid,str,Geographic Identifier
geofile280,10,name,str,Area Name
,,,,
geofile172,1,id,int,Geofile for: Consolidated City-Place Within Consolidated City
geofile172,2,fileid,str,Always equal to ACS Summary File identification
geofile172,3,stusab,str,State Postal Abbreviation
geofile172,4,sumlevel,int,Summary Level
geofile172,5,component,str,Geographic Component
geofile172,6,logrecno,int,Logical Record Number
geofile172,7,state,int,State (FIPS Code)
geofile172,8,place,int,Place (FIPS Code)
geofile172,9,concit,str,Consolidated City
geofile172,10,geoid,str,Geographic Identifier
geofile172,11,name,str,Area Name
,,,,
geofile270,1,id,int,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County
geofile270,2,fileid,str,Always equal to ACS Summary File identification
geofile270,3,stusab,str,State Postal Abbreviation
geofile270,4,sumlevel,int,Summary Level
geofile270,5,component,str,Geographic Component
geofile270,6,logrecno,int,Logical Record Number
geofile270,7,state,int,State (FIPS Code)
geofile270,8,county,int,County of current residence
geofile270,9,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile270,10,geoid,str,Geographic Identifier
geofile270,11,name,str,Area Name
,,,,
geofile160,1,id,int,Geofile for: Place
geofile160,2,fileid,str,Always equal to ACS Summary File identification
geofile160,3,stusab,str,State Postal Abbreviation
geofile160,4,sumlevel,int,Summary Level
geofile160,5,component,str,Geographic Component
geofile160,6,logrecno,int,Logical Record Number
geofile160,7,state,int,State (FIPS Code)
geofile160,8,place,int,Place (FIPS Code)
geofile160,9,geoid,str,Geographic Identifier
geofile160,10,name,str,Area Name
,,,,
geofile330,1,id,int,Geofile for: Combined Statistical Area
geofile330,2,fileid,str,Always equal to ACS Summary File identification
geofile330,3,stusab,str,State Postal Abbreviation
geofile330,4,sumlevel,int,Summary Level
geofile330,5,component,str,Geographic Component
geofile330,6,logrecno,int,Logical Record Number
geofile330,7,csa,int,Combined Statistical Area
geofile330,8,geoid,str,Geographic Identifier
geofile330,9,name,str,Area Name
,,,,
geofile170,1,id,int,Geofile for: Consolidated City
geofile170,2,fileid,str,Always equal to ACS Summary File identification
geofile170,3,stusab,str,State Postal Abbreviation
geofile170,4,sumlevel,int,Summary Level
geofile170,5,component,str,Geographic Component
geofile170,6,logrecno,int,Logical Record Number
geofile170,7,state,int,State (FIPS Code)
geofile170,8,concit,str,Consolidated City
geofile170,9,geoid,str,Geographic Identifier
geofile170,10,name,str,Area Name
,,,,
geofile354,1,id,int,Geofile for: New England City and Town Area-State-County-County Subdivision
geofile354,2,fileid,str,Always equal to ACS Summary File identification
geofile354,3,stusab,str,State Postal Abbreviation
geofile354,4,sumlevel,int,Summary Level
geofile354,5,component,str,Geographic Component
geofile354,6,logrecno,int,Logical Record Number
geofile354,7,state,int,State (FIPS Code)
geofile354,8,county,int,County of current residence
geofile354,9,cousub,int,County Subdivision (FIPS)
geofile354,10,necta,str,New England City and Town Area
geofile354,11,geoid,str,Geographic Identifier
geofile354,12,name,str,Area Name
,,,,
geofile363,1,id,int,Geofile for: State-New England City and Town Area-County-County Subdivision
geofile363,2,fileid,str,Always equal to ACS Summary File identification
geofile363,3,stusab,str,State Postal Abbreviation
geofile363,4,sumlevel,int,Summary Level
geofile363,5,component,str,Geographic Component
geofile363,6,logrecno,int,Logical Record Number
geofile363,7,state,int,State (FIPS Code)
geofile363,8,county,int,County of current residence
geofile363,9,cousub,int,County Subdivision (FIPS)
geofile363,10,necta,str,New England City and Town Area
geofile363,11,geoid,str,Geographic Identifier
geofile363,12,name,str,Area Name
,,,,
geofile346,1,id,int,Geofile for: State-Combined New England City and Town Area-New England City and Town Area
geofile346,2,fileid,str,Always equal to ACS Summary File identification
geofile346,3,stusab,str,State Postal Abbreviation
geofile346,4,sumlevel,int,Summary Level
geofile346,5,component,str,Geographic Component
geofile346,6,logrecno,int,Logical Record Number
geofile346,7,state,int,State (FIPS Code)
geofile346,8,necta,str,New England City and Town Area
geofile346,9,cnecta,str,New England City and Town Combined Statistical Area
geofile346,10,geoid,str,Geographic Identifier
geofile346,11,name,str,Area Name
,,,,
geofile322,1,id,int,Geofile for: State- CBSA -County
geofile322,2,fileid,str,Always equal to ACS Summary File identification
geofile322,3,stusab,str,State Postal Abbreviation
geofile322,4,sumlevel,int,Summary Level
geofile322,5,component,str,Geographic Component
geofile322,6,logrecno,int,Logical Record Number
geofile322,7,state,int,State (FIPS Code)
geofile322,8,county,int,County of current residence
geofile322,9,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile322,10,geoid,str,Geographic Identifier
geofile322,11,name,str,Area Name
,,,,
geofile340,1,id,int,Geofile for: State-Combined Statistical Area
geofile340,2,fileid,str,Always equal to ACS Summary File identification
geofile340,3,stusab,str,State Postal Abbreviation
geofile340,4,sumlevel,int,Summary Level
geofile340,5,component,str,Geographic Component
geofile340,6,logrecno,int,Logical Record Number
geofile340,7,state,int,State (FIPS Code)
geofile340,8,csa,int,Combined Statistical Area
geofile340,9,geoid,str,Geographic Identifier
geofile340,10,name,str,Area Name
,,,,
geofile795,1,id,int,Geofile for: State-Public Use MicroSample Area 5%
geofile795,2,fileid,str,Always equal to ACS Summary File identification
geofile795,3,stusab,str,State Postal Abbreviation
geofile795,4,sumlevel,int,Summary Level
geofile795,5,component,str,Geographic Component
geofile795,6,logrecno,int,Logical Record Number
geofile795,7,state,int,State (FIPS Code)
geofile795,8,puma5,int,Public Use Microdata Area – 5% File
geofile795,9,geoid,str,Geographic Identifier
geofile795,10,name,str,Area Name
,,,,
geofile60,1,id,int,Geofile for: County Subdivision
geofile60,2,fileid,str,Always equal to ACS Summary File identification
geofile60,3,stusab,str,State Postal Abbreviation
geofile60,4,sumlevel,int,Summary Level
geofile60,5,component,str,Geographic Component
geofile60,6,logrecno,int,Logical Record Number
geofile60,7,state,int,State (FIPS Code)
geofile60,8,county,int,County of current residence
geofile60,9,cousub,int,County Subdivision (FIPS)
geofile60,10,geoid,str,Geographic Identifier
geofile60,11,name,str,Area Name
,,,,
geofile362,1,id,int,Geofile for: State-New England City and Town Area-County
geofile362,2,fileid,str,Always equal to ACS Summary File identification
geofile362,3,stusab,str,State Postal Abbreviation
geofile362,4,sumlevel,int,Summary Level
geofile362,5,component,str,Geographic Component
geofile362,6,logrecno,int,Logical Record Number
geofile362,7,state,int,State (FIPS Code)
geofile362,8,county,int,County of current residence
geofile362,9,necta,str,New England City and Town Area
geofile362,10,geoid,str,Geographic Identifier
geofile362,11,name,str,Area Name
,,,,
geofile333,1,id,int,Geofile for: Combined Statistical Area-CBSA-State
geofile333,2,fileid,str,Always equal to ACS Summary File identification
geofile333,3,stusab,str,State Postal Abbreviation
geofile333,4,sumlevel,int,Summary Level
geofile333,5,component,str,Geographic Component
geofile333,6,logrecno,int,Logical Record Number
geofile333,7,state,int,State (FIPS Code)
geofile333,8,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile333,9,csa,int,Combined Statistical Area
geofile333,10,geoid,str,Geographic Identifier
geofile333,11,name,str,Area Name
,,,,
geofile269,1,id,int,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-Place-Remainder
geofile269,2,fileid,str,Always equal to ACS Summary File identification
geofile269,3,stusab,str,State Postal Abbreviation
geofile269,4,sumlevel,int,Summary Level
geofile269,5,component,str,Geographic Component
geofile269,6,logrecno,int,Logical Record Number
geofile269,7,state,int,State (FIPS Code)
geofile269,8,place,int,Place (FIPS Code)
geofile269,9,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile269,10,geoid,str,Geographic Identifier
geofile269,11,name,str,Area Name
,,,,
geofile313,1,id,int,Geofile for: CBSA-State-County
geofile313,2,fileid,str,Always equal to ACS Summary File identification
geofile313,3,stusab,str,State Postal Abbreviation
geofile313,4,sumlevel,int,Summary Level
geofile313,5,component,str,Geographic Component
geofile313,6,logrecno,int,Logical Record Number
geofile313,7,state,int,State (FIPS Code)
geofile313,8,county,int,County of current residence
geofile313,9,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile313,10,geoid,str,Geographic Identifier
geofile313,11,name,str,Area Name
,,,,
